id,sport,gender,matchType,iit,status,matchNo,pool,team1,team2,date,time,courtNo
166,Squash,Men,League,IIT Madras,upcoming,22,C,IIT PATNA,IIT GUWAHATI,17/12/2025,10:00 AM,2
167,Squash,Men,League,IIT Madras,upcoming,23,D,IIT KHARAGPUR,IIT INDORE,17/12/2025,11:00 AM,2
168,Squash,Men,League,IIT Madras,upcoming,24,A,IIT DELHI,IIT BHUBANESWAR,18/12/2025,3:00 PM,1
169,Squash,Men,League,IIT Madras,upcoming,25,B,IIT BOMBAY,IIT (BHU) VARANASI,18/12/2025,3:00 PM,2
170,Squash,Men,League,IIT Madras,upcoming,26,C,IIT JODHPUR,IIT (ISM) DHANBAD,18/12/2025,4:00 PM,1
171,Squash,Men,League,IIT Madras,upcoming,27,D,IIT KANPUR,IIT ROORKEE,18/12/2025,4:00 PM,2
172,Squash,Men,League,IIT Madras,upcoming,28,D,IIT KHARAGPUR,IIT GANDHINAGAR,18/12/2025,5:00 PM,2
173,Squash,Men,Quarter Final,IIT Madras,upcoming,29,QF1,WINNER OF POOL A,RUNNER-UP OF POOL C,19/12/2025,9:00 AM,1
174,Squash,Men,Quarter Final,IIT Madras,upcoming,30,QF 2,WINNER OF POOL B,RUNNER-UP OF POOL D,19/12/2025,9:00 AM,2
175,Squash,Men,Quarter Final,IIT Madras,upcoming,31,QF 3,WINNER OF POOL C,RUNNER-UP OF POOL A,19/12/2025,10:00 AM,1
176,Squash,Men,Quarter Final,IIT Madras,upcoming,32,QF 4,WINNER OF POOL D,RUNNER-UP OF POOL B,19/12/2025,10:00 AM,2
177,Squash,Men,Semi Final,IIT Madras,upcoming,33,SF 1,WINNER OF QF 1,WINNER OF QF 4,20/12/2025,4:00 PM,1
178,Squash,Men,Semi Final,IIT Madras,upcoming,34,SF 2,WINNER OF OF 2,WINNER OF QF 3,20/12/2025,4:00 PM,2
179,Squash,Men,3rd Place,IIT Madras,upcoming,35,3RD PLACE,LOSER OF SF 1,LOSER OF SF 2,21/12/2025,9:00 AM,2
180,Squash,Men,Final,IIT Madras,upcoming,36,FINALS,WINNER OF SF 1,WINNER OF SF 2,21/12/2025,11:00 AM,2
